Order_ID,Date,Region,State,City,Channel,Category,Brand,SKU,Units_Sold,MRP,Discount_Pct,Selling_Price,Revenue,Distributor,Sales_Rep
ORD107029,2025-08-14,Central,Madhya Pradesh,Bhopal,Modern Trade,Personal Care,GlowSkin,Soap 100g,18.0,218.81,8.0,201.31,3623.58,Dist_04,Rep_026
ORD108339,2024-12-19,East,Odisha,Bhubaneswar,E-commerce,Beverages,ChillJuice,Cola 250ml,20.0,102.66,0.6,102.04,2040.8,Dist_11,Rep_026
ORD104144,2025-08-23,South,Tamil Nadu,Coimbatore,General Trade,Snacks,CrunchTime,Namkeen 200g,10.0,115.5,0.0,115.5,1155.0,Dist_05,Rep_013
ORD102283,2025-01-07,West,Gujarat,Surat,General Trade,Beverages,FizzUp,Energy Drink 300ml,14.0,135.12,7.5,124.99,1749.86,Dist_06,Rep_019
ORD101056,2024-04-13,South,Karnataka,Mysuru,E-commerce,Home Care,SparkleHome,Dishwash 500ml,8.0,248.94,0.0,248.94,1991.52,Dist_03,Rep_029
ORD103549,2024-01-22,North,Delhi,New Delhi,General Trade,Snacks,GoldenBite,Cookies 100g,9.0,71.22,11.9,62.74,564.66,Dist_12,Rep_030
ORD105874,2025-07-16,South,Tamil Nadu,chennai,General Trade,Dairy,MooGold,Ice Cream 1L,9.0,224.47,6.2,210.55,1894.95,Dist_13,Rep_017
ORD103938,2025-03-25,Central,Chhattisgarh,Raipur,E-commerce,Beverages,ChillJuice,Iced Tea 500ml,,137.44,,111.05,1221.55,Dist_11,
ORD108147,2024-04-17,South,Telangana,Hyderabad,Modern Trade,Beverages,MorningBrew,Cola 250ml,9.0,76.17,20.4,60.63,545.67,Dist_04,Rep_022
ORD105293,2024-02-02,North,Punjab,Ludhiana,Modern Trade,Personal Care,FreshDay,Face Wash 100ml,,275.56,,273.08,2184.64,Dist_03,
ORD100475,2025-12-16,South,Karnataka,Mysuru,General Trade,Dairy,MooGold,Curd 400g,12.0,68.25,3.2,66.07,792.84,Dist_02,Rep_036
ORD100908,2025-09-11,West,Maharashtra,nagpur,General Trade,Personal Care,FreshDay,Shampoo 200ml,18.0,148.13,0.8,146.94,2644.92,Dist_02,Rep_030
ORD105451,2025-03-08,East,Odisha,Bhubaneswar,E-commerce,Personal Care,PureLather,Shampoo 200ml,14.0,206.33,7.8,190.24,2663.36,Dist_09,Rep_031
ORD102634,2024-05-28,South,Tamil Nadu,Chennai,E-commerce,Beverages,MorningBrew,Cola 250ml,26.0,96.63,13.6,83.49,2170.74,Dist_10,Rep_010
ORD104070,2024-01-13,South,Telangana,Hyderabad,General Trade,Beverages,MorningBrew,Cola 250ml,11.0,92.94,7.6,85.88,944.68,Dist_04,Rep_034
ORD100250,2025-05-22,North,Delhi,New Delhi,E-commerce,Dairy,DairyFresh,Butter 100g,4.0,240.2,1.8,235.88,943.52,Dist_04,Rep_030
ORD105264,2024-10-15,Central,Chhattisgarh,Raipur,General Trade,Home Care,CleanEdge,Floor Cleaner 1L,17.0,125.73,9.0,114.41,1944.97,Dist_13,Rep_033
ORD107950,2025-08-17,South,Karnataka,Mysuru,General Trade,Personal Care,PureLather,Toothpaste 150g,16.0,136.79,0.0,136.79,2188.64,Dist_07,Rep_012
ORD103775,2025-04-04,Central,Chhattisgarh,Raipur,Modern Trade,Home Care,SparkleHome,Dishwash 500ml,16.0,195.23,10.6,174.54,2792.64,Dist_05,Rep_003
ORD106958,2024-09-15,South,Telangana,hyderabad,E-commerce,Snacks,MunchWell,Chips 52g,18.0,39.22,14.2,33.65,605.7,Dist_10,Rep_013
ORD101771,2024-04-21,South,Karnataka,Mysuru,General Trade,Personal Care,FreshDay,Toothpaste 150g,12.0,261.59,6.0,245.89,2950.68,Dist_04,Rep_002
ORD102021,2024-11-06,Central,Chhattisgarh,Raipur,General Trade,Dairy,DairyFresh,Ice Cream 1L,9.0,135.23,5.1,128.33,1154.97,Dist_10,Rep_011
ORD103667,2024-01-14,North,UP,Kanpur,E-commerce,Snacks,GoldenBite,Namkeen 200g,9.0,10.64,10.8,9.49,85.41,Dist_01,Rep_022
ORD108809,2025-11-21,North,Punjab,Amritsar,E-commerce,Snacks,MunchWell,Biscuits 150g,18.0,19.95,4.3,19.09,343.62,Dist_04,Rep_023
ORD100999,2024-09-23,East,West Bengal,Kolkata,Modern Trade,Snacks,CrunchTime,Chips 52g,11.0,27.08,14.0,23.29,256.19,Dist_13,Rep_033
ORD104180,2024-08-03,South,Karnataka,Bengaluru,E-commerce,Snacks,CrunchTime,Biscuits 150g,8.0,70.48,7.5,65.19,521.52,Dist_07,Rep_027
ORD101098,2024-04-29,West,Maharashtra,Pune,General Trade,Beverages,ChillJuice,Juice 1L,21.0,42.36,5.2,40.16,843.36,Dist_06,Rep_020
ORD103212,2024-12-13,North,Punjab,Amritsar,General Trade,Personal Care,GlowSkin,Toothpaste 150g,11.0,52.35,19.9,41.93,461.23,Dist_12,Rep_008
ORD103170,2025-12-26,West,Gujarat,Ahmedabad,General Trade,Personal Care,GlowSkin,Soap 100g,23.0,244.03,12.5,213.53,4911.19,Dist_03,Rep_001
ORD102069,2025-08-01,West,Maharashtra,Pune,General Trade,Snacks,CrunchTime,Biscuits 150g,5.0,85.45,11.4,75.71,378.55,Dist_02,Rep_004
ORD105865,2024-07-03,North,Delhi,New Delhi,General Trade,Home Care,CleanEdge,Detergent 1kg,11.0,148.74,16.8,123.75,1361.25,Dist_11,Rep_024
ORD105919,2024-10-31,Central,Madhya Pradesh,Indore,General Trade,Home Care,SparkleHome,Dishwash 500ml,19.0,44.95,3.0,43.6,828.4,Dist_10,Rep_022
ORD107509,2024-01-17,East,West Bengal,Kolkata,E-commerce,Dairy,DairyFresh,Butter 100g,5.0,296.45,0.3,295.56,1477.8,Dist_12,Rep_022
ORD108520,2025-12-08,South,Tamil Nadu,Coimbatore,General Trade,Beverages,ChillJuice,Juice 1L,6.0,75.82,8.7,69.22,415.32,Dist_02,Rep_006
ORD100824,2025-10-27,West,Maharashtra,Pune,General Trade,Snacks,GoldenBite,Chips 52g,10.0,60.83,5.1,57.73,577.3,Dist_02,Rep_001
ORD106755,2025-04-28,East,Odisha,Bhubaneswar,Modern Trade,Snacks,MunchWell,Biscuits 150g,18.0,39.56,15.1,33.59,604.62,Dist_06,Rep_009
ORD101313,2024-11-11,West,Gujarat,Surat,E-commerce,Beverages,MorningBrew,Juice 1L,16.0,26.18,7.2,24.3,388.8,Dist_02,Rep_004
ORD101556,2025-09-18,East,Odisha,BHUBANESWAR,General Trade,Dairy,MooGold,Paneer 200g,18.0,261.93,6.8,244.12,4394.16,Dist_05,Rep_015
ORD101157,2024-04-24,North,UP,Lucknow,Modern Trade,Personal Care,GlowSkin,Soap 100g,15.0,269.21,5.7,253.87,3808.05,Dist_03,Rep_033
ORD101222,2025-02-12,North,UP,Lucknow,E-commerce,Dairy,PureCow,Ice Cream 1L,12.0,121.43,12.3,106.49,1277.88,Dist_02,Rep_039
ORD105749,2024-08-06,North,Delhi,New Delhi,E-commerce,Dairy,PureCow,Butter 100g,14.0,145.39,16.8,120.96,1693.44,Dist_06,Rep_008
ORD100042,2025-12-03,North,UP,Lucknow,HoReCa,Dairy,DairyFresh,Butter 100g,11.0,240.26,3.5,231.85,2550.35,Dist_06,Rep_038
ORD106646,2024-03-10,East,Odisha,Bhubaneswar,E-commerce,Home Care,SparkleHome,Floor Cleaner 1L,15.0,197.13,7.5,182.35,2735.25,Dist_06,Rep_001
ORD103527,2025-11-24,North,UP,Noida,General Trade,Snacks,CrunchTime,Chips 52g,19.0,27.04,1.0,26.77,508.63,Dist_02,Rep_033
ORD106093,2024-10-28,North,Delhi,NEW DELHI,General Trade,Dairy,MooGold,Ice Cream 1L,10.0,111.56,5.6,105.31,1053.1,Dist_09,Rep_040
ORD107935,2025-11-01,Central,Madhya Pradesh,Indore,General Trade,Snacks,GoldenBite,Chips 52g,16.0,32.56,6.3,30.51,488.16,Dist_01,Rep_006
ORD103037,2025-05-01,East,Odisha,Bhubaneswar,Modern Trade,Beverages,FizzUp,Energy Drink 300ml,20.0,67.75,0.0,67.75,1355.0,Dist_11,Rep_001
ORD102951,2025-03-14,North,UP,Kanpur,Modern Trade,Snacks,GoldenBite,Cookies 100g,8.0,67.12,9.9,60.48,483.84,Dist_12,Rep_001
ORD102186,2024-11-28,Central,Chhattisgarh,Raipur,E-commerce,Snacks,CrunchTime,Namkeen 200g,17.0,57.45,0.0,57.45,976.65,Dist_10,Rep_025
ORD108674,2025-12-18,South,Tamil Nadu,Coimbatore,General Trade,Dairy,PureCow,Paneer 200g,10.0,302.15,17.8,248.37,2483.7,Dist_03,Rep_019
ORD108394,2024-05-27,West,Maharashtra,nagpur,General Trade,Beverages,FizzUp,Iced Tea 500ml,19.0,52.08,5.1,49.42,938.98,Dist_09,Rep_016
ORD104135,2024-03-23,Central,Chhattisgarh,Raipur,Modern Trade,Dairy,MooGold,Paneer 200g,12.0,115.03,3.7,110.77,1329.24,Dist_06,Rep_037
ORD107225,2024-09-07,South,Telangana,Hyderabad,General Trade,Personal Care,GlowSkin,Shampoo 200ml,11.0,175.59,18.4,143.28,1576.08,Dist_14,Rep_018
ORD105030,2025-05-15,North,UP,Lucknow,General Trade,Snacks,GoldenBite,Namkeen 200g,15.0,56.8,7.1,52.77,791.55,Dist_14,Rep_029
ORD107716,2025-12-05,West,Maharashtra,Pune,HoReCa,Beverages,FizzUp,Energy Drink 300ml,15.0,60.75,6.6,56.74,851.1,Dist_12,Rep_036
ORD105044,2025-09-08,North,UP,Lucknow,Modern Trade,Personal Care,GlowSkin,Shampoo 200ml,17.0,95.67,2.9,92.9,1579.3,Dist_03,Rep_009
ORD103603,2024-10-18,South,Karnataka,Bengaluru,General Trade,Beverages,FizzUp,Iced Tea 500ml,6.0,48.16,4.9,45.8,274.8,Dist_09,Rep_010
ORD100457,2024-03-26,South,Tamil Nadu,Coimbatore,Modern Trade,Dairy,MooGold,Butter 100g,7.0,262.84,0.0,262.84,1839.88,Dist_12,Rep_002
ORD106943,2025-12-16,West,Maharashtra,Nagpur,Modern Trade,Snacks,CrunchTime,Biscuits 150g,11.0,26.78,5.4,25.33,278.63,Dist_03,Rep_019
ORD105571,2025-03-16,North,Punjab,Ludhiana,General Trade,Beverages,ChillJuice,Juice 1L,16.0,98.92,9.7,89.32,1429.12,Dist_12,Rep_002
ORD100688,2024-04-11,South,Tamil Nadu,Coimbatore,General Trade,Dairy,DairyFresh,Milk 500ml,12.0,169.18,12.0,148.88,1786.56,Dist_04,Rep_021
ORD107669,2025-06-19,North,UP,Lucknow,E-commerce,Personal Care,FreshDay,Shampoo 200ml,15.0,60.65,14.3,51.98,779.7,Dist_09,Rep_013
ORD102412,2025-09-21,West,Maharashtra,Pune,Modern Trade,Beverages,ChillJuice,Iced Tea 500ml,8.0,18.48,0.0,18.48,147.84,Dist_12,Rep_008
ORD101551,2024-10-05,North,Delhi,New Delhi,HoReCa,Dairy,PureCow,Butter 100g,18.0,52.27,12.7,45.63,821.34,Dist_15,Rep_024
ORD108829,2024-05-29,North,Delhi,New Delhi,General Trade,Dairy,DairyFresh,Curd 400g,18.0,46.74,9.1,42.49,764.82,Dist_03,Rep_025
ORD107109,2025-11-10,West,Gujarat,Surat,General Trade,Beverages,MorningBrew,Cola 250ml,11.0,84.85,11.3,75.26,827.86,Dist_11,Rep_033
ORD106383,2025-04-22,East,Odisha,Bhubaneswar,General Trade,Snacks,GoldenBite,Chips 52g,13.0,38.91,5.3,36.85,479.05,Dist_03,Rep_003
ORD101332,2025-03-25,West,Maharashtra,Nagpur,Modern Trade,Snacks,CrunchTime,Cookies 100g,10.0,19.15,0.0,19.15,191.5,Dist_02,Rep_029
ORD103481,2025-12-17,North,UP,Lucknow,General Trade,Personal Care,GlowSkin,Shampoo 200ml,14.0,261.99,6.0,246.27,3447.78,Dist_15,Rep_028
ORD103430,2025-01-13,North,Punjab,Amritsar,Modern Trade,Personal Care,GlowSkin,Toothpaste 150g,12.0,148.6,8.4,136.12,1633.44,Dist_08,Rep_034
ORD106115,2025-05-15,South,Tamil Nadu,Chennai,HoReCa,Snacks,CrunchTime,Cookies 100g,8.0,77.85,9.6,70.38,563.04,Dist_14,Rep_018
ORD108815,2024-06-19,South,Tamil Nadu,Coimbatore,E-commerce,Snacks,CrunchTime,Namkeen 200g,21.0,59.57,15.7,50.22,1054.62,Dist_04,Rep_021
ORD101360,2025-02-09,Central,Madhya Pradesh,Bhopal,General Trade,Beverages,FizzUp,Iced Tea 500ml,9.0,71.99,10.3,64.58,581.22,Dist_05,Rep_032
ORD107911,2025-04-09,West,Maharashtra,Nagpur,E-commerce,Beverages,ChillJuice,Iced Tea 500ml,25.0,50.82,5.5,48.02,1200.5,Dist_02,Rep_039
ORD108272,2025-03-02,South,Tamil Nadu,Chennai,Modern Trade,Home Care,CleanEdge,Detergent 1kg,13.0,184.77,7.2,171.47,2229.11,Dist_03,Rep_001
ORD102664,2024-01-13,North,UP,Noida,Modern Trade,Snacks,MunchWell,Namkeen 200g,5.0,21.9,1.9,21.48,107.4,Dist_03,Rep_034
ORD104086,2025-10-25,Central,Madhya Pradesh,Bhopal,General Trade,Snacks,MunchWell,Cookies 100g,-14.0,30.9,6.3,28.95,-405.3,Dist_15,Rep_015
ORD101548,2024-02-12,South,Tamil Nadu,Coimbatore,General Trade,Personal Care,GlowSkin,Face Wash 100ml,13.0,128.74,7.3,119.34,1551.42,Dist_11,Rep_020
ORD105262,2024-01-19,South,Tamil Nadu,Coimbatore,General Trade,Home Care,CleanEdge,Dishwash 500ml,10.0,204.3,12.7,178.35,1783.5,Dist_03,Rep_029
ORD100875,2024-04-27,South,Tamil Nadu,COIMBATORE,General Trade,Snacks,CrunchTime,Biscuits 150g,16.0,14.71,7.6,13.59,217.44,Dist_08,Rep_020
ORD106891,2025-11-14,West,Gujarat,Surat,General Trade,Dairy,MooGold,Milk 500ml,16.0,310.47,14.1,266.69,4267.04,Dist_04,Rep_018
ORD103008,2025-12-17,South,Karnataka,Mysuru,General Trade,Personal Care,GlowSkin,Face Wash 100ml,12.0,202.8,16.7,168.93,2027.16,Dist_03,Rep_040
ORD104228,2025-06-09,West,Maharashtra,Pune,Modern Trade,Dairy,DairyFresh,Ice Cream 1L,25.0,171.54,13.5,148.38,3709.5,Dist_12,Rep_005
ORD107180,2025-12-26,North,UP,Kanpur,Modern Trade,Personal Care,GlowSkin,Soap 100g,6.0,106.67,3.6,102.83,616.98,Dist_10,Rep_020
ORD106753,2025-10-07,North,UP,Lucknow,HoReCa,Snacks,MunchWell,Biscuits 150g,24.0,28.67,6.4,26.84,644.16,Dist_15,Rep_007
ORD100563,2025-04-02,Central,Madhya Pradesh,Indore,Modern Trade,Dairy,DairyFresh,Paneer 200g,8.0,81.67,8.2,74.97,599.76,Dist_08,Rep_039
ORD105739,2025-09-17,West,Maharashtra,Pune,General Trade,Dairy,PureCow,Butter 100g,19.0,265.67,5.0,252.39,4795.41,Dist_10,Rep_008
ORD103249,2024-11-27,East,Odisha,Bhubaneswar,E-commerce,Home Care,CleanEdge,Floor Cleaner 1L,12.0,248.08,8.1,227.99,2735.88,Dist_06,Rep_035
ORD107405,2025-04-01,South,Karnataka,Mysuru,Modern Trade,Beverages,FizzUp,Iced Tea 500ml,25.0,132.1,3.5,127.48,3187.0,Dist_12,Rep_030
ORD108257,2025-10-01,South,Tamil Nadu,Chennai,General Trade,Beverages,MorningBrew,Juice 1L,17.0,19.35,10.3,17.36,295.12,Dist_13,Rep_027
ORD102994,2025-07-18,West,Maharashtra,mumbai,General Trade,Home Care,SparkleHome,Dishwash 500ml,9.0,128.57,0.0,128.57,1157.13,Dist_02,Rep_021
ORD103790,2025-10-22,North,Punjab,Amritsar,General Trade,Personal Care,GlowSkin,Toothpaste 150g,4.0,190.88,13.6,164.92,659.68,Dist_14,Rep_001
ORD108439,2025-08-14,North,Punjab,Amritsar,General Trade,Beverages,ChillJuice,Energy Drink 300ml,12.0,55.65,8.4,50.98,611.76,Dist_13,Rep_003
ORD108377,2024-01-12,West,Maharashtra,Nagpur,General Trade,Beverages,FizzUp,Cola 250ml,10.0,26.65,11.3,23.64,236.4,Dist_06,Rep_014
ORD104417,2025-04-22,East,Odisha,bhubaneswar,General Trade,Snacks,GoldenBite,Biscuits 150g,7.0,26.04,3.4,25.15,176.05,Dist_07,Rep_024
ORD101948,2024-01-05,West,Gujarat,Ahmedabad,E-commerce,Beverages,MorningBrew,Energy Drink 300ml,14.0,88.05,3.7,84.79,1187.06,Dist_10,Rep_017
ORD101250,2024-08-26,West,Maharashtra,Pune,General Trade,Personal Care,PureLather,Shampoo 200ml,8.0,72.07,10.8,64.29,514.32,Dist_07,Rep_011
ORD107665,2025-02-18,North,Punjab,Amritsar,General Trade,Personal Care,PureLather,Toothpaste 150g,8.0,277.94,10.3,249.31,1994.48,Dist_01,Rep_033
ORD103978,2024-05-08,North,UP,Noida,General Trade,Beverages,FizzUp,Energy Drink 300ml,25.0,118.34,15.8,99.64,2491.0,Dist_14,Rep_038
ORD108104,2024-08-06,South,Telangana,Hyderabad,Modern Trade,Home Care,CleanEdge,Dishwash 500ml,13.0,243.01,2.4,237.18,3083.34,Dist_09,Rep_014
ORD103226,2025-07-03,North,Punjab,Ludhiana,General Trade,Home Care,SparkleHome,Floor Cleaner 1L,11.0,182.77,8.0,168.15,1849.65,Dist_01,Rep_026
ORD106347,2025-08-20,West,Maharashtra,Mumbai,General Trade,Beverages,MorningBrew,Energy Drink 300ml,13.0,146.21,7.6,135.1,1756.3,Dist_09,Rep_008
ORD108496,2025-10-19,North,UP,Noida,General Trade,Personal Care,FreshDay,Soap 100g,15.0,182.98,6.4,171.27,2569.05,Dist_03,Rep_026
ORD104074,2024-03-12,South,Tamil Nadu,Coimbatore,HoReCa,Beverages,FizzUp,Energy Drink 300ml,10.0,100.53,20.3,80.12,801.2,Dist_13,Rep_024
ORD101174,2025-06-20,Central,Madhya Pradesh,Bhopal,Modern Trade,Snacks,MunchWell,Biscuits 150g,5.0,95.4,3.7,91.87,459.35,Dist_01,Rep_021
ORD103102,2025-02-11,North,UP,Kanpur,HoReCa,Snacks,GoldenBite,Cookies 100g,8.0,35.87,16.8,29.84,238.72,Dist_07,Rep_040
ORD102891,2024-05-15,South,Karnataka,Bengaluru,General Trade,Beverages,FizzUp,Iced Tea 500ml,17.0,121.56,11.7,107.34,1824.78,Dist_08,Rep_038
ORD106669,2025-05-06,East,West Bengal,Kolkata,General Trade,Dairy,PureCow,Paneer 200g,12.0,140.1,18.1,114.74,1376.88,Dist_03,Rep_022
ORD107631,2024-06-21,North,UP,Kanpur,Modern Trade,Beverages,FizzUp,Energy Drink 300ml,27.0,76.22,0.2,76.07,2053.89,Dist_02,Rep_035
ORD106724,2024-11-21,West,Maharashtra,NAGPUR,E-commerce,Snacks,GoldenBite,Biscuits 150g,26.0,46.76,11.7,41.29,1073.54,Dist_11,Rep_024
ORD100848,2024-02-21,East,Odisha,Bhubaneswar,Modern Trade,Snacks,CrunchTime,Cookies 100g,15.0,20.11,12.1,17.68,265.2,Dist_12,Rep_016
ORD102048,2024-03-28,South,Karnataka,Mysuru,Modern Trade,Beverages,ChillJuice,Juice 1L,10.0,34.18,5.9,32.16,321.6,Dist_10,Rep_016
ORD104308,2025-01-16,North,Punjab,Amritsar,General Trade,Snacks,MunchWell,Namkeen 200g,11.0,50.81,22.8,39.23,431.53,Dist_06,Rep_024
ORD100901,2025-12-03,North,Punjab,Amritsar,E-commerce,Home Care,CleanEdge,Dishwash 500ml,14.0,92.16,3.4,89.03,1246.42,Dist_09,Rep_007
ORD103398,2024-01-17,South,Tamil Nadu,Chennai,General Trade,Personal Care,FreshDay,Toothpaste 150g,13.0,215.3,23.7,164.27,2135.51,Dist_09,Rep_028
ORD106061,2024-08-07,East,West Bengal,KOLKATA,Modern Trade,Dairy,PureCow,Milk 500ml,13.0,116.55,18.2,95.34,1239.42,Dist_02,Rep_040
ORD102694,2024-05-16,South,Telangana,Hyderabad,General Trade,Personal Care,GlowSkin,Toothpaste 150g,14.0,244.72,2.2,239.34,3350.76,Dist_02,Rep_033
ORD101210,2025-05-12,Central,Chhattisgarh,Raipur,Modern Trade,Personal Care,PureLather,Toothpaste 150g,9.0,35.11,11.9,30.93,278.37,Dist_02,Rep_031
ORD100021,2024-03-10,West,Maharashtra,Pune,General Trade,Dairy,PureCow,Butter 100g,19.0,61.21,18.3,50.01,950.19,Dist_03,Rep_030
ORD107729,2024-08-26,South,Karnataka,Bengaluru,E-commerce,Snacks,MunchWell,Namkeen 200g,14.0,69.38,20.1,55.43,776.02,Dist_06,Rep_012
ORD102924,2025-04-30,North,Punjab,Amritsar,General Trade,Personal Care,PureLather,Face Wash 100ml,9.0,252.11,11.7,222.61,2003.49,Dist_10,Rep_008
ORD101844,2024-02-18,Central,Madhya Pradesh,Bhopal,E-commerce,Dairy,PureCow,Ice Cream 1L,11.0,36.39,16.1,30.53,335.83,Dist_10,Rep_028
ORD105165,2024-05-22,North,UP,Noida,E-commerce,Personal Care,GlowSkin,Toothpaste 150g,14.0,157.35,8.2,144.45,2022.3,Dist_03,Rep_006
ORD101891,2024-04-21,South,Tamil Nadu,Chennai,E-commerce,Personal Care,FreshDay,Toothpaste 150g,17.0,248.48,0.0,248.48,4224.16,Dist_12,Rep_029
ORD107030,2024-11-22,South,Karnataka,Mysuru,General Trade,Dairy,PureCow,Butter 100g,10.0,70.12,0.7,69.63,696.3,Dist_09,Rep_015
ORD101121,2024-01-07,Central,Madhya Pradesh,Bhopal,General Trade,Dairy,DairyFresh,Milk 500ml,13.0,190.83,2.2,186.63,2426.19,Dist_01,Rep_011
ORD100555,2024-08-03,Central,Madhya Pradesh,Bhopal,Modern Trade,Snacks,GoldenBite,Chips 52g,16.0,28.12,10.3,25.22,403.52,Dist_13,Rep_028
ORD107870,2024-05-03,West,Maharashtra,Nagpur,General Trade,Snacks,CrunchTime,Chips 52g,14.0,24.24,11.2,21.53,301.42,Dist_08,Rep_033
